ym,ret_excess_mensuel,RF_mensuel,RV2_courant,RV2_retarde,poids_sans_cap,poids_cap,rendement_vm_sans_cap,rendement_vm_cap
1929-02-01,-0.009401857516186718,0.0036061265328986014,0.0026462150630485004,0.0022361081375411396,0.5226490362489278,0.5226490362489278,-0.004913871769784726,-0.004913871769784726
1929-03-01,-0.004338531585980188,0.0020019011404841525,0.004700027216563785,0.0026462150630485004,0.44164957691983375,0.44164957691983375,-0.0019161106394014853,-0.0019161106394014853
1929-04-01,0.013828044263019645,0.00220231154073125,0.0022981595765925243,0.004700027216563785,0.24865808413099022,0.24865808413099022,0.0034384549937209958,0.0034384549937209958
1929-05-01,-0.04700286845353996,0.004409252331712299,0.00579048742529432,0.0022981595765925243,0.5085372551748951,0.5085372551748951,-0.023902709708709877,-0.023902709708709877
1929-06-01,0.09952088077149823,0.004007609127756773,0.0016003598723077948,0.00579048742529432,0.20183098195310537,0.20183098195310537,0.02008639709094941,0.02008639709094941
1929-07-01,0.05131989479360288,0.00220231154073125,0.0015452430960236807,0.0016003598723077948,0.730273098730563,0.730273098730563,0.037477538597450864,0.037477538597450864
1929-08-01,0.09319067017028781,0.004409252331712299,0.003897461243547256,0.0015452430960236807,0.7563209737300461,0.7563209737300461,0.07048205840574764,0.07048205840574764
1929-09-01,-0.05078581656771719,0.0020019011404841525,0.0035441853632434944,0.003897461243547256,0.29986180490420344,0.29986180490420344,-0.015228726619529474,-0.015228726619529474
1929-10-01,-0.20298630156043918,0.0046101341821787045,0.060511397653475095,0.0035441853632434944,0.3297513090468595,0.3297513090468595,-0.0669349986581354,-0.0669349986581354
1929-11-01,-0.13671619982119998,0.00340544544380994,0.038721247509263826,0.060511397653475095,0.019313712926066325,0.019313712926066325,-0.0026404974356893764,-0.0026404974356893764
1929-12-01,0.023185657974458262,0.002102101330598183,0.009443556605837355,0.038721247509263826,0.030182389210333605,0.030182389210333605,0.0006997985530827744,0.0006997985530827744
1930-01-01,0.06014222831042737,0.00220231154073125,0.001520622895707111,0.009443556605837355,0.12375631468252671,0.12375631468252671,0.007442980532493616,0.007442980532493616
1930-02-01,0.01956363293121255,0.0019017109693872936,0.0015242817418258561,0.001520622895707111,0.7685664646597338,0.7685664646597338,0.015035952197842773,0.015035952197842773
1930-03-01,0.035198485289445136,0.002102101330598183,0.0018649713906015593,0.0015242817418258561,0.7667216177727998,0.7667216177727998,0.02698743958427547,0.02698743958427547
1930-04-01,0.028895780377535818,0.002102101330598183,0.004305732627168871,0.0018649713906015593,0.6266582795445936,0.6266582795445936,0.018107780017485024,0.018107780017485024
1930-05-01,-0.018531108916191807,0.002102101330598183,0.00534082428353919,0.004305732627168871,0.2714287820985093,0.2714287820985093,-0.005029876324056768,-0.005029876324056768
1930-06-01,-0.16632544455646603,0.002102101330598183,0.018068187907184598,0.00534082428353919,0.21882385582994734,0.21882385582994734,-0.03639597510047602,-0.03639597510047602
1930-07-01,0.03438201685378117,0.00220231154073125,0.006730126866877996,0.018068187907184598,0.06468273238234046,0.06468273238234046,0.002223922794918247,0.002223922794918247
1930-08-01,0.00754369456233861,0.0,0.00444414589668211,0.006730126866877996,0.17365196617406464,0.17365196617406464,0.0013099773929666997,0.0013099773929666997
1930-09-01,-0.13192620502042884,0.002102101330598183,0.0041284253503918004,0.00444414589668211,0.26297511157470865,0.26297511157470865,-0.03469330848487517,-0.03469330848487517
1930-10-01,-0.08875737520102067,0.0,0.01264439314585734,0.0041284253503918004,0.283086083395779,0.283086083395779,-0.025125977718146585,-0.025125977718146585
1930-11-01,-0.034800543412798146,0.0018015308163057409,0.007156392633076425,0.01264439314585734,0.0924283000024529,0.0924283000024529,-0.0032165550668064933,-0.0032165550668064933
1930-12-01,-0.06555674332016337,0.00220231154073125,0.009636586504674034,0.007156392633076425,0.16330850233574387,0.16330850233574387,-0.01070597356962466,-0.01070597356962466
1931-01-01,0.05320150708140736,0.002102101330598183,0.014256753114390161,0.009636586504674034,0.12127735920467345,0.12127735920467345,0.0064521382845418185,0.0064521382845418185
1931-02-01,0.11365040715824781,0.0,0.004067188245307835,0.014256753114390161,0.0819751701987899,0.0819751701987899,0.009316511469959135,0.009316511469959135
1931-03-01,-0.07432058244902928,0.0,0.005583731784206288,0.004067188245307835,0.2873483331838764,0.2873483331838764,-0.021355895487983424,-0.021355895487983424
